trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.7, 'e': 0.8422172337162865}",20,0,-93.21506849814475,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.8368837533084093}",35,0,-98.42405637981162,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.8314696123025453}",25,0,-102.60121128164349,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.8259753325248731}",30,0,-58.48892254633877,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.8204014435255137}",25,0,-130.19710156788238,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.8147484825274895}",35,16,-63.33984627143448,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
64,False,"{'a': 0.7, 'e': 0.8090169943749475}",35,0,-140.69449508101943,"{0: 19, 1: 4, 2: 9, 3: 3, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.8032075314806449}",20,0,-152.91370033793172,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.7973206537727071}",35,0,-91.6767156503261,"{0: 24, 1: 0, 2: 10, 3: 1, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.7913569286406604}",30,0,-170.69912350907674,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
68,False,"{'a': 0.7, 'e': 0.7853169308807448}",25,0,-31.989321543786936,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.7, 'e': 0.7792012426405168}",25,0,-94.78021434738811,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",1
70,False,"{'a': 0.7, 'e': 0.7730104533627371}",20,0,-32.54158638477769,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.7, 'e': 0.7667451597285616}",20,0,-110.67649957799568,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.7, 'e': 0.7604059656000309}",20,0,-113.12902202598211,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
73,False,"{'a': 0.7, 'e': 0.7539934819618695}",30,0,-90.13120420817629,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.7475083268625967}",25,0,-24.79783672240018,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
75,False,"{'a': 0.7, 'e': 0.740951125354959}",20,0,-17.69981479819689,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.7343225094356857}",30,0,-127.57218300022234,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",1
77,False,"{'a': 0.7, 'e': 0.7276231179845747}",20,9,-40.88941143011334,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.7208535967029189}",20,8,-114.73565895564916,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 3}",1
79,False,"{'a': 0.7, 'e': 0.7140145980512683}",25,17,-40.32780153002486,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.7, 'e': 0.7071067811865476}",30,6,-122.7634856042474,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 1}",1
81,False,"{'a': 0.7, 'e': 0.7001308118985237}",30,0,-82.29206622452823,"{0: 22, 1: 0, 2: 5, 3: 3, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.6930873625456359}",20,0,0.6663763302872919,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.6859771119901927}",35,0,-121.56913521903218,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
84,False,"{'a': 0.7, 'e': 0.6788007455329417}",25,17,6.79585531418894,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.6715589548470186}",20,0,-31.38979853819096,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.6642524379112819}",25,0,-26.370899587940446,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.6568818989430415}",20,0,-109.82198498248594,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
88,False,"{'a': 0.7, 'e': 0.6494480483301838}",30,0,-3.377502048233615,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.6419516025627031}",25,9,-22.191796721321516,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.6343932841636455}",25,2,-58.097866315719436,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
91,False,"{'a': 0.7, 'e': 0.6267738216194695}",25,2,-59.455785188161926,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
92,False,"{'a': 0.7, 'e': 0.6190939493098342}",20,3,-21.768098770101613,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.6113544074368167}",25,16,-7.599712164511565,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.6035559419535715}",20,3,-50.89330973705641,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.5956993044924335}",25,0,-82.51893887457948,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
96,False,"{'a': 0.7, 'e': 0.5877852522924732}",30,18,-34.29217096959252,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.7, 'e': 0.5798145481265137}",25,0,-25.528253815859717,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.5717879602276122}",30,12,-72.8908535353615,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.5637062622150166}",20,0,-147.09482572112876,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
100,False,"{'a': 0.7, 'e': 0.5555702330196022}",25,0,-53.99562939303222,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
101,False,"{'a': 0.7, 'e': 0.5473806568087968}",30,12,11.367768435607097,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.5391383229110004}",20,12,3.2218216842537597,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.5308440257395096}",20,7,-1.714211467716269,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.5224985647159489}",20,0,7.135539424027705,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.7, 'e': 0.5141027441932218}",25,1,-29.651143622943234,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.5056573733779846}",20,0,5.705723321635727,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.7, 'e': 0.49716326625265433}",30,0,-85.4814735774119,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
108,False,"{'a': 0.7, 'e': 0.48862124149695524}",20,0,-8.462527131097257,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
109,False,"{'a': 0.7, 'e': 0.4800321224090114}",20,8,-4.004263539725075,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.4713967368259978}",20,2,-54.87382921887033,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
111,False,"{'a': 0.7, 'e': 0.4627159170443502}",20,0,-98.11872111272005,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
112,False,"{'a': 0.7, 'e': 0.45399049973954686}",20,0,-81.34006509634486,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.7, 'e': 0.44522132588546826}",25,0,7.478704700967141,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.4364092406733421}",25,0,21.805066172954565,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.42755509343028203}",30,0,26.334183316049625,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.7, 'e': 0.41865973753742797}",30,9,21.547194599237862,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.40972403034769556}",20,5,-7.426082793112411,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.40074883310314113}",30,0,-53.928916475652485,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
119,False,"{'a': 0.7, 'e': 0.3917350108519561}",25,4,0.09923946682319995,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.3826834323650899}",20,9,3.758195689340635,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.3735949700525164}",25,0,0.39841619277455176,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
122,False,"{'a': 0.7, 'e': 0.36447049987914965}",25,0,-24.649784927460576,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.3553109012804161}",25,0,-34.7415685954307,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.7, 'e': 0.3461170570774933}",25,0,-29.745605512059257,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.7, 'e': 0.33688985339222033}",20,14,9.562552480083582,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.3276301795616937}",20,5,0.625253994936092,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.3183389280525499}",25,6,-78.34329749293983,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
128,False,"{'a': 0.7, 'e': 0.3090169943749475}",25,16,2.4006920760064743,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.7, 'e': 0.29966527699625667}",25,10,-18.975066779695474,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.2902846772544624}",30,15,-2.1359263534729713,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.28087609927129203}",25,18,-12.626346863553078,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.27144044986507415}",25,17,16.125975561911584,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.26197863846333774}",25,15,5.896493248286364,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.2524915770151582}",20,0,4.551216086792779,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.7, 'e': 0.24298017990326407}",20,0,-3.245681305085733,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
136,False,"{'a': 0.7, 'e': 0.23344536385590553}",20,10,19.71685114163691,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.22388804785849845}",20,10,-46.54166183301418,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.7, 'e': 0.21430915306505074}",20,10,11.177519761719564,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.20470960270937957}",25,0,9.831580173703184,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.7, 'e': 0.1950903220161286}",25,12,21.035288322551352,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
